endTime,artistName,trackName,msPlayed
2022-01-09 07:22,Victor AD,Wetin We Gain,214752
2022-01-09 07:25,Victor AD,Joanna,187872
2022-01-09 07:27,Victor AD,No Idea,133569
2022-01-09 07:31,Sebastian Yatra,Dos Oruguitas,214613
2022-01-09 07:33,Joeboy,Show Me,168000
2022-01-09 07:36,Tems,The Key,166153
2022-01-09 07:42,Sasha Alex Sloan,Dancing With Your Ghost,339262
2022-01-09 18:12,Labrinth,Jealous,240828
2022-01-09 18:12,Sebastian Yatra,Dos Oruguitas,394
2022-01-09 18:14,Sebastian Yatra,Dos Oruguitas,135256
2022-01-09 18:16,Mohbad,Backside,131030
2022-01-09 18:20,Lil Wayne,Drop The World,229226
2022-01-09 18:24,Lil Wayne,How To Love,147586
2022-01-09 18:29,Lil Wayne,Outro,19653
2022-01-09 18:29,Lil Wayne,Blunt Blowin,312960
2022-01-09 18:33,Lil Wayne,6 Foot 7 Foot,248586
2022-01-09 18:43,Lil Wayne,Nightmares Of The Bottom,485282
2022-01-09 18:48,Lil Wayne,She Will,305840
2022-01-09 18:54,Lil Wayne,Interlude,11577
2022-01-09 18:54,Lil Wayne,How To Hate,278520
2022-01-09 18:59,Lil Wayne,John,286973
2022-01-09 19:06,Lil Wayne,Abortion,434341
2022-01-09 19:10,Lil Wayne,So Special,232093
2022-01-09 19:11,Lil Wayne,How To Love,87867
2022-01-09 19:12,Lil Wayne,President Carter,7778
2022-01-09 19:26,Lil Wayne,How To Love,88421
2022-01-09 19:31,Lil Wayne,Outro,1114
2022-01-09 19:31,Lil Wayne,It's Good,2693
2022-01-09 19:31,Lil Wayne,President Carter,255373
2022-01-09 19:34,Lil Wayne,Mirror,128009
2022-01-09 19:38,The Game,Jesus Piece,233880
2022-01-09 19:43,The Game,Pray,295470
2022-01-10 15:32,Lil Wayne,President Carter,255373
2022-01-10 15:36,Lil Wayne,How To Love,240306
2022-01-10 15:43,Lil Wayne,So Special,452468
2022-01-10 15:47,Lil Wayne,Abortion,223920
2022-01-10 15:53,Lil Wayne,She Will,305840
2022-01-10 15:58,Lil Wayne,Nightmares Of The Bottom,281080
2022-01-10 16:01,Joy Again,Looking Out for You,1230
2022-01-10 16:01,Coyote Theory,This Side of Paradise,1253
2022-01-10 16:01,Niniola,I Did It (Bum Bum),835
2022-01-10 16:01,Sebastian Yatra,Dos Oruguitas,137798
2022-01-10 16:01,Mohbad,Backside,882
2022-01-10 16:03,Fireboy DML,Peru,158592
2022-01-10 16:03,Chris James,Not Angry,1021
2022-01-10 16:06,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,173381
2022-01-10 16:08,Kanye West,Never Let Me Down,75129
2022-01-10 16:08,Kanye West,Life Of The Party (with André 3000),2530
2022-01-10 16:08,SALES,Pope Is a Rockstar,1230
2022-01-11 00:37,Adele,Love In The Dark,176610
2022-01-11 00:40,Nessa Barrett,la di die (feat. jxdn),195191
2022-01-11 00:44,Alec Benjamin,Water Fountain,218893
2022-01-11 00:45,Leah Kate,Fuck Up The Friendship,6250
2022-01-11 00:45,Jessie Murph,Always Been You,54014
2022-01-11 00:48,Nessa Barrett,la di die (feat. jxdn),195191
2022-01-11 00:49,Leah Kate,Fuck Up The Friendship,46954
2022-01-11 00:51,awfultune,I Met Sarah in the Bathroom,107541
2022-01-11 00:54,Sarah Cothran,As the World Caves In,161612
2022-01-11 00:56,5 Seconds of Summer,Ghost Of You,140351
2022-01-11 01:00,5 Seconds of Summer,Ghost Of You,197411
2022-01-11 01:00,The Neighbourhood,Daddy Issues,0
2022-01-11 01:07,5 Seconds of Summer,Ghost Of You,393551
2022-01-11 01:07,The Neighbourhood,Daddy Issues,0
2022-01-11 01:10,5 Seconds of Summer,Ghost Of You,191070
2022-01-11 01:13,5 Seconds of Summer,Ghost Of You,197411
2022-01-11 01:16,5 Seconds of Summer,If Walls Could Talk,167938
2022-01-11 01:18,5 Seconds of Summer,Better Man,136450
2022-01-11 01:19,5 Seconds of Summer,More,28130
2022-01-11 01:20,5 Seconds of Summer,Empty Wallets,106130
2022-01-11 01:21,5 Seconds of Summer,Babylon,47210
2022-01-11 01:21,5 Seconds of Summer,Moving Along,14640
2022-01-11 01:22,5 Seconds of Summer,Meet You There,18090
